Original source Substance	pref_name	chembl_id	molregno	mw_freebase	Blood-plasma concentration, therapeutic (normal) upper limit	Unit
TIAGABINE	TIAGABINE	CHEMBL1027	122170	375.56	0.2	mg/L
TIAPROFENIC ACID	TIAPROFENIC ACID	CHEMBL365795	317367	260.31	40.0	mg/L
TICLOPIDINE	TICLOPIDINE	CHEMBL833	60319	263.79	2.0	mg/L
TILUDRONATE	TILUDRONIC ACID	CHEMBL1350	299299	318.61	1.5	mg/L
TIMOLOL	TIMOLOL	CHEMBL499	8531	316.43	0.1	mg/L
TIOPRONIN	TIOPRONIN	CHEMBL1314	264400	163.2	5.0	mg/L
TIOTROPIUM	TIOTROPIUM	CHEMBL1900528	1241099	392.52	1.6e-05	mg/L
TIPRANAVIR	TIPRANAVIR	CHEMBL222559	372438	602.68	20.5	mg/L
TIZANIDINE	TIZANIDINE	CHEMBL1079	140117	253.72	0.015	mg/L
TOBRAMYCIN	TOBRAMYCIN	CHEMBL1747	577488	467.52	10.0	mg/L
TOCAINIDE	TOCAINIDE	CHEMBL1762	583520	192.26	10.0	mg/L
TOLBUTAMIDE	TOLBUTAMIDE	CHEMBL782	46726	270.35	100.0	mg/L
TOLCAPONE	TOLCAPONE	CHEMBL1324	267825	273.24	6.0	mg/L
TOLMETIN	TOLMETIN	CHEMBL1020	118617	257.29	80.0	mg/L
TOPIRAMATE	TOPIRAMATE	CHEMBL220492	366279	339.37	29.0	mg/L
TOPOTECAN	TOPOTECAN	CHEMBL84	7501	421.45	0.01	mg/L
TRAMADOL	TRAMADOL	CHEMBL1237044	699395	263.38	2.0	mg/L
TRANEXAMIC ACID	TRANEXAMIC ACID	CHEMBL877	73547	157.21	50.0	mg/L
TRANYLCYPROMINE	TRANYLCYPROMINE	CHEMBL3989843	2197714	266.39	0.05	mg/L
TRAZODONE	TRAZODONE	CHEMBL621	26401	371.87	1.0	mg/L
TRIAMTERENE	TRIAMTERENE	CHEMBL585	17411	253.27	0.1	mg/L
TRIAZOLAM	TRIAZOLAM	CHEMBL646	27419	343.22	0.02	mg/L
METRIFONATE	TRICHLORFON	CHEMBL167150	277372	257.44	3.6	mg/L
TRIFLUOPERAZINE	TRIFLUOPERAZINE	CHEMBL422	1325	407.51	0.05	mg/L
TRIFLUPROMAZINE	TRIFLUPROMAZINE	CHEMBL570	16584	352.43	0.1	mg/L
TRIHEXYPHENIDYL	TRIHEXYPHENIDYL	CHEMBL1490	418411	301.47	0.2	mg/L
TRIMETHADIONE	TRIMETHADIONE	CHEMBL695	31804	143.14	40.0	mg/L
TRIMETHOBENZAMIDE	TRIMETHOBENZAMIDE	CHEMBL1201256	675207	388.46	2.0	mg/L
TRIMETHOPRIM	TRIMETHOPRIM	CHEMBL22	1216	290.32	10.0	mg/L
TRIMIPRAMINE	TRIMIPRAMINE	CHEMBL644	27385	294.44	0.3	mg/L
TRIPROLIDINE	TRIPROLIDINE	CHEMBL855	65539	278.4	0.045	mg/L
TROPISETRON	TROPISETRON	CHEMBL56564	88800	284.36	0.05	mg/L
TUBOCURARINE	TUBOCURARINE	CHEMBL339427	203627	609.74	6.0	mg/L
VALPROIC ACID	VALPROIC ACID	CHEMBL109	15217	144.21	150.0	mg/L
VALSARTAN	VALSARTAN	CHEMBL1069	139045	435.53	6.0	mg/L
VANCOMYCIN	VANCOMYCIN	CHEMBL262777	70140	1449.27	40.0	mg/L
VARENICLINE	VARENICLINE	CHEMBL1396	330452	211.27	0.005	mg/L
VECURONIUM	VECURONIUM	CHEMBL1201219	675170	557.84	0.5	mg/L
VENLAFAXINE	VENLAFAXINE	CHEMBL637	27278	277.41	0.4	mg/L
VERAPAMIL	VERAPAMIL	CHEMBL6966	1219	454.61	0.4	mg/L
VIGABATRIN	VIGABATRIN	CHEMBL89598	141484	129.16	45.0	mg/L
VILOXAZINE	VILOXAZINE	CHEMBL306700	114406	237.3	8.0	mg/L
VINCAMINE	VINCAMINE	CHEMBL1165342	644928	354.45	0.25	mg/L
VORICONAZOLE	VORICONAZOLE	CHEMBL638	27308	349.32	6.0	mg/L
WARFARIN	WARFARIN	CHEMBL1464	394165	308.33	7.0	mg/L
XAMOTEROL	XAMOTEROL	CHEMBL75753	122859	339.39	0.1	mg/L
XIPAMIDE	XIPAMIDE	CHEMBL517199	452689	354.82	20.0	mg/L
YOHIMBINE	YOHIMBINE	CHEMBL15245	15191	354.45	0.3	mg/L
ZAFIRLUKAST	ZAFIRLUKAST	CHEMBL603	21523	575.69	0.03	mg/L
ZALCITABINE	ZALCITABINE	CHEMBL853	65494	211.22	0.1	mg/L
ZALEPLON	ZALEPLON	CHEMBL1521	421332	305.34	0.1	mg/L
ZIDOVUDINE	ZIDOVUDINE	CHEMBL129	27307	267.25	1.0	mg/L
ZIPRASIDONE	ZIPRASIDONE	CHEMBL708	33664	412.95	0.2	mg/L
ZOLMITRIPTAN	ZOLMITRIPTAN	CHEMBL1185	196215	287.36	0.01	mg/L
ZOLPIDEM	ZOLPIDEM	CHEMBL911	80965	307.4	0.15	mg/L
ZOMEPIRAC	ZOMEPIRAC	CHEMBL19490	23001	291.73	4.0	mg/L
ZONISAMIDE	ZONISAMIDE	CHEMBL750	39857	212.23	40.0	mg/L
ZOPICLONE	ZOPICLONE	CHEMBL135400	224263	388.82	0.05	mg/L
ZOTEPINE	ZOTEPINE	CHEMBL285802	34266	331.87	0.15	mg/L
